id,品名,陽極_過站時間,來料碼,產品狀態,不良名稱,鍛壓模穴號,退火批號,熔鑄批號,鍛壓時間
2096345,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-A06-02-03071201XX-F50-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03071201,5H18422002G,2025-08-22
2096344,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-G01-03-03062401XX-F21-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062401,5H18422001G,2025-08-16
2092108,Y20Housing,2025-09-02,IN-6R01-5H18422003G-801H20-C05-04-03070401XX-F03-XXXXCXXXXXXXX-A107080706207090101-07101101,不良,大平面臟污,創新C-A,03070401,5H18422003G,
2092107,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E05-01-03071601XX-F46-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,不良,大平面腐蝕点,FX-102-2#,03071601,5H18422002G,2025-08-22
2092106,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-G02-02-03071601XX-F11-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,不良,四側面臟污,FX-102-1#,03071601,5H18422002G,2025-08-22
2096343,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-J01-01-03062401XX-F36-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062401,5H18422001G,2025-08-15
2096342,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E06-03-03071601XX-F15-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096341,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-J03-01-03062601XX-F15-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-202-2#,03062601,5H18422001G,2025-08-18
2096340,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D07-02-03071201XX-F21-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071201,5H18422002G,2025-08-23
2096339,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-C03-01-03062401XX-F61-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062401,5H18422001G,2025-08-19
2096338,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-L06-01-03062401XX-F59-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062401,5H18422001G,2025-08-16
2096337,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-H04-04-03071601XX-F75-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-23
2096336,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-B07-02-03062001XX-F55-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062001,5H18422001G,2025-08-14
2096335,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-J03-04-03071601XX-F92-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-22
2096334,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-F06-02-03071601XX-F51-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096333,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-F07-02-03071601XX-F29-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-22
2096332,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-B04-01-03062601XX-F07-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062601,5H18422001G,2025-08-18
2096331,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E01-01-03071601XX-F83-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096330,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E02-01-03071201XX-F15-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071201,5H18422002G,2025-08-21
2096329,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-G04-02-03071601XX-F68-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03071601,5H18422002G,2025-08-23
2096328,Y20Housing,2025-09-02,IM-6R01-5J21422003G-501J23-K04-03-03071801XX-F12-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071801,5J21422003G,2025-08-27
2096327,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-A05-01-03062401XX-F08-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-202-1#,03062401,5H18422001G,2025-08-15
2096326,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-G04-01-03071601XX-F03-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-23
2096325,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D06-03-03071601XX-F33-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096324,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-H05-02-03071601XX-F76-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-22
2096323,Y20Housing,2025-09-02,IM-6R01-5H17422004G-501H19-H01-04-03061701XX-F68-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-202-2#,03061701,5H17422004G,2025-08-12
2096322,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-H05-02-03062001XX-F06-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062001,5H18422001G,2025-08-14
2096321,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-C05-04-03071201XX-F10-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03071201,5H18422002G,2025-08-22
2096320,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D07-02-03071201XX-F45-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071201,5H18422002G,2025-08-21
2096319,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-G04-04-03071601XX-F88-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-23
2092105,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E08-04-03071601XX-F44-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,不良,直線白印,FX-602-2#,03071601,5H18422002G,2025-08-23
2096318,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-C08-03-03062401XX-F71-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062401,5H18422001G,2025-08-16
2096317,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-A05-01-03071201XX-F02-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071201,5H18422002G,2025-08-23
2096316,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E08-03-03071601XX-F81-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096315,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-H05-04-03071601XX-F10-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-22
2096314,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-A05-02-03071201XX-F70-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071201,5H18422002G,2025-08-21
2092104,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-L04-03-03071601XX-F36-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,不良,R角白印,FX-102-2#,03071601,5H18422002G,2025-08-21
2096313,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-A06-02-03062401XX-F35-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062401,5H18422001G,2025-08-15
2096312,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-H07-03-03071201XX-F19-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071201,5H18422002G,2025-08-21
2096311,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-M02-01-03062601XX-F45-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062601,5H18422001G,2025-08-18
2096310,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-F03-01-03071201XX-F36-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071201,5H18422002G,2025-08-21
2096309,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-E08-02-03071601XX-F18-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096308,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D06-03-03071601XX-F54-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096307,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D07-04-03071201XX-F24-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071201,5H18422002G,2025-08-21
2096306,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-E06-01-03062401XX-F06-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-202-1#,03062401,5H18422001G,2025-08-15
2096305,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D06-03-03071601XX-F65-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071601,5H18422002G,2025-08-22
2096304,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-A06-01-03062401XX-F82-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03062401,5H18422001G,2025-08-15
2096303,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-B06-01-03071601XX-F72-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-23
2096302,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-M03-04-03062401XX-F28-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-1#,03062401,5H18422001G,2025-08-18
2096301,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-F06-02-03071601XX-F52-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071601,5H18422002G,2025-08-22
2096300,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-F01-01-03071201XX-F80-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-1#,03071201,5H18422002G,2025-08-21
2096299,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-C03-02-03071601XX-F61-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-602-2#,03071601,5H18422002G,2025-08-22
2096298,Y20Housing,2025-09-02,IM-6R01-5H18422002G-701H21-D03-01-03071201XX-F28-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-102-2#,03071201,5H18422002G,2025-08-21
2096297,Y20Housing,2025-09-02,IM-6R01-5H18422001G-601H21-A02-01-03062601XX-F57-XXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXX,良品,,FX-202-1#,03062601,5H18422001G,2025-08-18
